ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
Brookside Estates Development Group,INC*|*B20260295631*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4252 W. 3RD ST.*|**|*LOS ANGE*|*CA*|*United States*|*90020*|*4252 W. 3RD ST.*|**|**|*LOS ANGELES*|*CA*|*United States*|*90020*|**|**|**|**|**|**|**|*
Comite Progreso de Lamont*|*B20260280660*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9812 SAN FERNANDO ST*|**|*LAMONT*|*CA*|*United States*|*93241*|*9812 SAN FERNANDO ST*|**|**|*LAMONT*|*CA*|*United States*|*93241*|**|**|**|**|**|**|**|*
corti llc*|*B20260304203*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261462482*|*Jul 16 2026  3:50PM*|*120 S DEL MAR AVE*|*#135*|*SAN GABRIEL*|*CA*|*United States*|*91778-1007*|*PO BOX 135*|**|**|*SAN GABRIEL*|*CA*|*United States*|*91778*|*120 S DEL MAR AVE*|*#135*|*SAN GABRIEL*|*CA*|*United States*|*91778-1007*|*More Than One Manager*|*Any business purpose.
COSMIC DYNAMIX SPACE AND AI TECHNOLOGIES, INC.*|*B20260303054*|*07/14/2026*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|*BA20261455699*|*Jul 15 2026  4:33PM*|*2810 N CHURCH ST STE 88994*|**|*WILMINGTON*|*DE*|*United States*|*19802*|*1813 HILLMAN AVE*|**|**|*BELMONT*|*CA*|*United States*|*94002*|*1813 HILLMAN AVE*|**|*BELMONT*|*CA*|*United States*|*94002*|**|*Technology Services
CP MANAGEMENT HOLDING, LLC*|*B20260301260*|*07/16/2026*|*DELAWARE*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1202 D STREET*|**|*MODESTO*|*CA*|*United States*|*95354*|*1202 D STREET*|**|**|*MODESTO*|*CA*|*United States*|*95354*|*1202 D STREET*|**|*MODESTO*|*CA*|*United States*|*95354*|**|*
Cpl. Gurpreet Singh Legacy Foundation*|*B20260295380*|*07/20/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5717 MELBURY WAY*|**|*ANTELOPE*|*CA*|*United States*|*95843*|*5717 MELBURY WAY*|**|**|*ANTELOPE*|*CA*|*United States*|*95843*|**|**|**|**|**|**|**|*
CQAA LLC*|*B20260299605*|*07/18/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*66922 HACIENDA AVE*|*APT C*|*DESERT HOT SPRINGS*|*CA*|*United States*|*92240-5882*|*66922 HACIENDA AVE*|*APT C*|**|*DESERT HOT SPRINGS*|*CA*|*United States*|*92240-5882*|**|**|**|**|**|**|*One Manager*|*
Cultive LLC*|*B20260301294*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*576 I STREET*|**|*CHULA VISTA*|*CA*|*United States*|*91910*|*576 I STREET*|**|**|*CHULA VISTA*|*CA*|*United States*|*91910*|**|**|**|**|**|**|*All LLC Member(s)*|*
Deol Development LLC*|*B20260297273*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*163 OVERLOOK TERRACE*|**|*HERCULES*|*CA*|*United States*|*94547*|*163 OVERLOOK TERRACE*|**|**|*HERCULES*|*CA*|*United States*|*94547*|**|**|**|**|**|**|*All LLC Member(s)*|*
DH6&NL8 Investments LP*|*B20260281895*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Partnership - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*6600 CASTRO VERDE WAY*|**|*ELK GROVE*|*CA*|*United States*|*95757*|*6600 CASTRO VERDE WAY*|**|**|*ELK GROVE*|*CA*|*United States*|*95757*|**|**|**|**|**|**|**|*
Dillon Development Group, Inc.*|*B20260294423*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2914 BROKEN ARROW ST.*|**|*NORCO*|*CA*|*United States*|*92860*|*2914 BROKEN ARROW ST.*|**|**|*NORCO*|*CA*|*United States*|*92860*|**|**|**|**|**|**|**|*
Dvicii Productions LLC*|*B20260276888*|*07/15/2026*|*LOUISIANA*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*9327 BIMINI DR.*|**|*BATON ROUGE*|*LA*|*United States*|*70810*|*1510 S. SHERBOURNE DR.*|*103*|**|*LOS ANGELES*|*CA*|*United States*|*90035*|*1510 S. SHERBOURNE DR.*|*103*|*LOS ANGELES*|*CA*|*United States*|*90035*|**|*
E. Soto Construction Services, Inc.*|*B20260298688*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8110 MESSICK RD*|**|*SALINAS*|*CA*|*United States*|*93907*|*8110 MESSICK RD*|**|**|*SALINAS*|*CA*|*United States*|*93907*|**|**|**|**|**|**|**|*
ETS Telecommunications LLC*|*B20260304955*|*07/16/2026*|*UTAH*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1103 N 1600 W*|**|*LAYTON*|*UT*|*United States*|*84041*|*1103 N 1600 W*|**|**|*LAYTON*|*UT*|*United States*|*84041*|**|**|**|**|**|**|**|*
Garabaldi Group LLC*|*B20260282249*|*07/16/2026*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*32 N GOULD ST*|*N/A*|*SHERIDAN*|*WY*|*United States*|*82801*|*32 N GOULD ST*|*N/A*|**|*SHERIDAN*|*WY*|*United States*|*82801*|*2427 E ST*|*APT 7*|*SAN DIEGO*|*CA*|*United States*|*92102*|**|*
Good Stuff Period LLC*|*B20260301583*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4101 VIA MARINA APT N-209*|**|*MARINA DEL REY*|*CA*|*United States*|*90292*|*4101 VIA MARINA APT N-209*|**|**|*MARINA DEL REY*|*CA*|*United States*|*90292*|**|**|**|**|**|**|*All LLC Member(s)*|*
Harper Home Health Physical Therapy, P.C.*|*B20260287973*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*18826 ALTARIO ST*|**|*LA PUENTE*|*CA*|*United States*|*91744*|*18826 ALTARIO ST*|**|**|*LA PUENTE*|*CA*|*United States*|*91744*|**|**|**|**|**|**|**|*
I Want Approvals*|*B20260230680*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*31120 RIVERSIDE DRIVE*|**|*LAKE ELSINORE*|*CA*|*United States*|*92530*|*31500 GRAPE STREET*|*STE 3-347*|**|*LAKE ELSINORE*|*CA*|*United States*|*92532-9702*|**|**|**|**|**|**|**|*
Irma Ledezma Family Child Care Inc.*|*B20260291051*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261462343*|*Jul 16 2026  3:35PM*|*540 W CEDAR ST*|**|*OXNARD*|*CA*|*United States*|*93033*|*540 W CEDAR ST*|**|**|*OXNARD*|*CA*|*United States*|*93033*|*540 W CEDAR ST*|**|*OXNARD*|*CA*|*United States*|*93033*|**|*Childcare services
J7Group Inc.*|*B20260268954*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*13847 SILVER WOOD LN.*|**|*CHINO HILLS*|*CA*|*United States*|*91709*|*13847 SILVER WOOD LN.*|**|**|*CHINO HILLS*|*CA*|*United States*|*91709*|**|**|**|**|**|**|**|*
JCAV LLC*|*B20260298777*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*195 MOWRY AVENUE*|*110*|*FREMONT*|*CA*|*United States*|*94538*|*195 MOWRY AVENUE*|*110*|**|*FREMONT*|*CA*|*United States*|*94538*|**|**|**|**|**|**|*All LLC Member(s)*|*
Jo Salazar Hair Inc.*|*B20260288283*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4111 ILLINOIS ST*|*UNIT 206*|*SAN DIEGO*|*CA*|*United States*|*92104*|*4111 ILLINOIS ST*|*UNIT 206*|**|*SAN DIEGO*|*CA*|*United States*|*92104*|**|**|**|**|**|**|**|*
JW Design & Management Incorporated*|*B20260303861*|*07/16/2026*|*WYOMING*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*205 HUCKLEBERRY DR*|**|*JACKSON*|*WY*|*United States*|*83001*|*PO BOX 574*|**|**|*DIABLO*|*CA*|*United States*|*94528*|*2406 DIABLO LAKES LN*|**|*DIABLO*|*CA*|*United States*|*94528*|**|*
Kifle G. Jikamo, Nursing, APC*|*B20260298172*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*728 N VALLEY VIEW DRIVE*|**|*CHULA VISTA*|*CA*|*United States*|*91914*|*728 N VALLEY VIEW DRIVE*|**|**|*CHULA VISTA*|*CA*|*United States*|*91914*|**|**|**|**|**|**|**|*
Kingdom Expansion Ministries*|*B20260290284*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Religious*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*661 BURLOND  CT*|**|*FOLSOM*|*CA*|*United States*|*95630*|*661 BURLOND  CT*|**|**|*FOLSOM*|*CA*|*United States*|*95630*|**|**|**|**|**|**|**|*
KOLMAR PLUMBING*|*B20260290578*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1319 S ALMA ST*|*APT 2*|*SAN PEDRO*|*CA*|*United States*|*90731*|*1319 S ALMA ST*|*APT 2*|**|*SAN PEDRO*|*CA*|*United States*|*90731*|**|**|**|**|**|**|**|*
LA BODEGA MOTORS LLC*|*B20260298312*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*603 THIRD ST*|**|*WHEATLAND*|*CA*|*United States*|*95692*|*603 THIRD ST*|**|**|*WHEATLAND*|*CA*|*United States*|*95692*|**|**|**|**|**|**|*One Manager*|*
Liminal Marriage & Family Therapy PC*|*B20260304451*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*453 SOUTH SPRING STREET, SUITE 400, UNIT 708*|**|*LOS ANGELES*|*CA*|*United States*|*90013*|*453 SOUTH SPRING STREET, SUITE 400, UNIT 708*|**|**|*LOS ANGELES*|*CA*|*United States*|*90013*|**|**|**|**|**|**|**|*
Lincoln Builders Inc.*|*B20260302156*|*07/14/2026*|*NEVADA*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|*LINCOLN CONSTRUCTION INC.*|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*404 SHATTO PL, APT 508*|**|*LOS ANGELES*|*CA*|*United States*|*90020*|*404 SHATTO PL, APT 508*|**|**|*LOS ANGELES*|*CA*|*United States*|*90020*|*404 SHATTO PL, APT 508*|**|*LOS ANGELES*|*CA*|*United States*|*90020*|**|*
Lorvella LLC*|*B20260297180*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*8844 S SEPULVEDA BLVD*|**|*WESTCHESTER*|*CA*|*United States*|*90045*|*8844 S SEPULVEDA BLVD*|**|**|*WESTCHESTER*|*CA*|*United States*|*90045*|**|**|**|**|**|**|*One Manager*|*
MINT AND MARKET, LLC*|*B20260281029*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261462812*|*Jul 16 2026  4:28PM*|*16627 BLOOMFIELD AVENUE*|**|*CERRITOS*|*CA*|*United States*|*90703*|*16627 BLOOMFIELD AVENUE*|**|**|*CERRITOS*|*CA*|*United States*|*90703*|**|**|**|**|**|**|*All LLC Member(s)*|*FOOD SERVICE
Mr.Crash LLC*|*B20260301695*|*07/15/2026*|*WASHINGTON*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|*BANKS LAW GROUP, PLLC*|*Good*|*Good*|*Good*|**|*BA20261465624*|*Jul 17 2026 10:18AM*|*17637 108TH AVE SE*|**|*RENTON*|*WA*|*United States*|*98055-6450*|*17637 108TH AVENUE SE*|**|**|*RENTON*|*WA*|*United States*|*98055*|**|**|**|**|**|**|**|*Any lawful Purpose
MSDCAMERICA LLC*|*B20260248064*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*635 SYCAMORE CIR*|**|*DANVILLE*|*CA*|*United States*|*94526*|*635 SYCAMORE CIR*|**|**|*DANVILLE*|*CA*|*United States*|*94526*|**|**|**|**|**|**|*One Manager*|*
